Length of the list   = 50
1334 1058 1273 1041 1222 413 1759
1615 1185 1701 535 858 803 1579
821 1745 1634 631 1413 969 982
1105 1425 675 1795 1780 969 681
1485 1591 1204 364 973 1071 1639
1044 1271 733 875 1726 752 1429
2028 717 1130 1730 930 1747 532
1770 1642 1414 1348 1113 340 1023
807 388 1727 1747 883 1700 1803
595 1175 1156 1516 1530 1777 601
806 1525 1538 919 1268 719 1096
885 963 805 1135 1857 1878 779
1324 1239 1594 423 1605 831 1195
883 1818 470 656 1422 1893 1578
649 1442 908 1069 703 1818 1511
1407 1604 1296 1410 588 1694 459
735 1747 970 1608 1788 531 1209
1234 988 1460 559 1201 1066 1202
1526 1563 407 1532 573 1231 1721
438 1586 1605 784 1387 1082 1934
494 451 1939 1785 1417 1653 1404
1921 804 1467 714 1601 1043 700
898 1315 1264 1611 1437 1833 321
580 1926 1112 1463 1398 1106 744
1109 353 1929 1379 1073 1899 1058
1621 692 1166 577 1385 1417 1094
1132 755 1374 483 1749 1253 1843
1337 1737 1605 421 1693 1684 535
1872 1753 512 849 1335 1572 682
1011 1846 524 1390 754 1675 1092
1581 834 1599 320 1208 1585 1724
1733 1259 1336 585 1748 1468 446
1751 796 969 554 1768 1291 1051
2018 747 887 1210 510 1449 1686
918 692 1139 1618 1006 864 1933
1726 1552 238 782 1719 1794 1557
766 1445 1576 1521 378 1313 1509
1324 545 849 1493 1626 933 1224
1287 413 1830 1695 1784 963 835
1421 859 491 1465 1832 1843 775
1678 1808 1724 593 838 574 1670
1086 1773 651 1622 1594 1194 567
1849 1325 615 1680 834 615 1693
1073 1506 475 1032 1058 1120 1564
1507 761 1710 1210 823 591 1775
1787 1399 464 1720 1783 598 1123
828 1697 504 1211 1520 1027 1362
1425 1654 1540 1308 746 565 949
1728 841 732 1655 458 1506 1783
1858 351 1817 1474 1497 1942 532
